occupation,2019,2020,2021,2022,2023
Licensed practical and licensed vocational nurses,687.0,596.0,533.0,588.0,584.0
"Life scientists, all other",2.0,6.0,8.0,13.0,8.0
"Life, physical, and social science occupations",1485.0,1627.0,1640.0,1840.0,1870.0
"Lifeguards and other recreational, and all other protective service workers",139.0,,,,
Loan interviewers and clerks,116.0,151.0,144.0,169.0,125.0
Locksmiths and safe repairers,32.0,28.0,30.0,19.0,29.0
Locomotive engineers and operators,42.0,55.0,39.0,52.0,44.0
Lodging managers,162.0,123.0,116.0,113.0,141.0
Logging workers,66.0,47.0,51.0,57.0,58.0
Logisticians,154.0,147.0,132.0,169.0,197.0
Machine feeders and offbearers,24.0,11.0,22.0,24.0,30.0
Machinists,375.0,290.0,323.0,313.0,307.0
Magnetic resonance imaging technologists,,57.0,47.0,52.0,46.0
Maids and housekeeping cleaners,1475.0,1163.0,1357.0,1364.0,1380.0
"Mail clerks and mail machine operators, except postal service",68.0,62.0,53.0,53.0,44.0
"Maintenance and repair workers, general",579.0,584.0,614.0,646.0,672.0
"Maintenance workers, machinery",21.0,24.0,29.0,19.0,22.0
Management analysts,950.0,997.0,1001.0,1045.0,1060.0
Management occupations,18985.0,18564.0,18986.0,20199.0,20906.0
"Management,  professional, and related occupations",,,64744.0,68099.0,
"Management, business, and financial operations occupations",26981.0,27143.0,27864.0,29350.0,30544.0
"Management, professional, and related occupations",64218.0,63644.0,,,70275.0
"Managers, all other",5299.0,4969.0,5235.0,5557.0,5666.0
Manicurists and pedicurists,,214.0,247.0,295.0,324.0
Manufactured building and mobile home installers,5.0,5.0,1.0,4.0,5.0
Marine engineers and naval architects,12.0,16.0,12.0,8.0,16.0
Market research analysts and marketing specialists,369.0,438.0,400.0,455.0,511.0
Marketing and sales managers,1184.0,,,,
Marketing managers,,554.0,576.0,656.0,567.0
Marriage and family therapists,,40.0,44.0,38.0,34.0
Massage therapists,183.0,151.0,166.0,149.0,145.0
"Material moving workers, all other",41.0,,,,
Materials engineers,44.0,53.0,43.0,48.0,54.0
Mathematicians,3.0,3.0,0.0,4.0,5.0
Mechanical engineers,351.0,357.0,354.0,403.0,433.0
"Media and communication equipment workers, all other",0.0,2.0,1.0,1.0,1.0
"Media and communication workers, all other",,19.0,30.0,28.0,30.0
Medical and health services managers,677.0,711.0,791.0,797.0,838.0
Medical assistants,596.0,561.0,561.0,541.0,593.0
Medical records and health information technicians,185.0,,,,
Medical records specialists,,183.0,207.0,193.0,211.0
Medical scientists,170.0,112.0,121.0,147.0,130.0
Medical secretaries and administrative assistants,,72.0,58.0,74.0,103.0
Medical transcriptionists,41.0,46.0,45.0,38.0,41.0
"Medical, dental, and ophthalmic laboratory technicians",91.0,,,,
"Meeting, convention, and event planners",146.0,118.0,116.0,159.0,169.0
Mental health and substance abuse social workers,,24.0,15.0,24.0,20.0
Mental health counselors,,138.0,212.0,195.0,219.0
Merchandise displayers and window trimmers,,24.0,27.0,29.0,28.0
"Metal furnace operators, tenders, pourers, and casters",23.0,21.0,17.0,18.0,16.0
"Metal workers and plastic workers, all other",392.0,,,,
"Meter readers, utilities",17.0,25.0,33.0,16.0,14.0
"Milling and planing machine setters, operators, and tenders, metal and plastic",5.0,,,,
Millwrights,52.0,57.0,48.0,40.0,42.0
Mine shuttle car operators,2.0,,,,
"Mining and geological engineers, including mining safety engineers",8.0,17.0,8.0,3.0,10.0
Mining machine operators,56.0,,,,
Miscellaneous agricultural workers,866.0,834.0,835.0,753.0,731.0
Miscellaneous assemblers and fabricators,1001.0,,,,
"Miscellaneous community and social service specialists, including health educators and community health workers",78.0,,,,
Miscellaneous construction and related workers,32.0,22.0,26.0,32.0,65.0
Miscellaneous entertainment attendants and related workers,210.0,,,,
Miscellaneous health technologists and technicians,152.0,185.0,177.0,146.0,146.0
"Miscellaneous healthcare support occupations, including medical equipment preparers",206.0,,,,
Miscellaneous legal support workers,193.0,,,,
"Miscellaneous life, physical, and social science technicians",152.0,,,,
Miscellaneous mathematical science occupations,22.0,,,,
Miscellaneous media and communication workers,118.0,,,,
Miscellaneous personal appearance workers,409.0,,,,
Miscellaneous plant and system operators,51.0,43.0,37.0,38.0,37.0
Miscellaneous social scientists and related workers,39.0,50.0,54.0,57.0,55.0
"Miscellaneous vehicle and mobile equipment mechanics, installers, and  repairers",73.0,,,,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",,84.0,84.0,81.0,90.0
"Model makers and patternmakers, metal and plastic",5.0,8.0,1.0,0.0,4.0
"Model makers and patternmakers, wood",0.0,,,,
"Models, demonstrators, and product promoters",62.0,28.0,30.0,23.0,33.0
"Molders and molding machine setters, operators, and tenders, metal and plastic",45.0,35.0,29.0,20.0,29.0
"Molders, shapers, and casters, except metal and plastic",31.0,26.0,21.0,24.0,32.0
"Morticians, undertakers, and funeral arrangers",,19.0,30.0,36.0,45.0
"Morticians, undertakers, and funeral directors",26.0,,,,
Motion picture projectionists,1.0,,,,
"Motor vehicle operators, all other",66.0,143.0,163.0,193.0,212.0
"Multiple machine tool setters, operators, and tenders, metal and plastic",2.0,,,,
Music directors and composers,,50.0,52.0,45.0,46.0
Musicians and singers,,118.0,127.0,165.0,170.0
"Musicians, singers, and related workers",202.0,,,,
"Natural resources, construction, and maintenance occupations",14343.0,13357.0,13959.0,14260.0,14326.0
Natural sciences managers,15.0,16.0,21.0,28.0,39.0
Network and computer systems administrators,199.0,238.0,212.0,217.0,202.0
New accounts clerks,22.0,24.0,12.0,14.0,18.0
"News analysts, reporters and correspondents",93.0,,,,
"News analysts, reporters, and journalists",,77.0,79.0,88.0,65.0
Nonfarm animal caretakers,296.0,,,,
Nuclear engineers,8.0,10.0,11.0,11.0,3.0
Nuclear medicine technologists and medical dosimetrists,,35.0,39.0,28.0,42.0
Nuclear technicians,3.0,7.0,2.0,7.0,6.0
Nurse anesthetists,33.0,42.0,35.0,37.0,22.0
Nurse midwives,10.0,5.0,8.0,6.0,6.0
Nurse practitioners,225.0,218.0,237.0,263.0,276.0
Nursing assistants,,1364.0,1248.0,1236.0,1261.0
"Nursing, psychiatric, and home health aides",2086.0,,,,
Office and administrative support occupations,17789.0,15558.0,15797.0,16096.0,15954.0
"Office and administrative support workers, all other",618.0,535.0,639.0,582.0,447.0
"Office clerks, general",1355.0,1227.0,1249.0,1256.0,1274.0
"Office machine operators, except computer",32.0,22.0,27.0,29.0,29.0
Operating engineers and other construction equipment operators,375.0,,,,
Operations research analysts,152.0,156.0,141.0,135.0,138.0
"Opticians, dispensing",49.0,40.0,50.0,46.0,49.0
Optometrists,43.0,42.0,37.0,42.0,47.0
Order clerks,112.0,113.0,112.0,124.0,106.0
Orderlies and psychiatric aides,,55.0,55.0,59.0,67.0
Other assemblers and fabricators,,872.0,957.0,1047.0,1048.0
Other community and social service specialists,,100.0,100.0,112.0,99.0
Other designers,,375.0,389.0,375.0,384.0
Other drafters,,95.0,93.0,80.0,98.0
"Other education, training, and library workers",189.0,,,,
Other educational instruction and library workers,,176.0,145.0,155.0,204.0
"Other engineering technologists and technicians, except drafters",,344.0,293.0,374.0,366.0
Other entertainment attendants and related workers,,144.0,192.0,237.0,231.0
Other extraction workers,46.0,50.0,55.0,50.0,47.0
Other financial specialists,,82.0,61.0,87.0,135.0
Other grounds maintenance workers,,17.0,13.0,18.0,19.0
Other healthcare practitioners and technical occupations,133.0,100.0,105.0,91.0,130.0
Other healthcare support workers,,147.0,164.0,228.0,237.0
"Other installation, maintenance, and repair workers",179.0,183.0,182.0,173.0,190.0
"Other life, physical, and social science technicians",,258.0,269.0,320.0,304.0
"Other machine tool setters, operators, and tenders, metal and plastic",,7.0,8.0,13.0,6.0
Other material moving workers,,62.0,66.0,55.0,55.0
Other mathematical science occupations,,103.0,245.0,314.0,402.0
Other metal workers and plastic workers,,341.0,335.0,387.0,361.0
Other personal appearance workers,,19.0,26.0,30.0,21.0
Other physicians,,929.0,921.0,933.0,903.0
Other production equipment operators and tenders,,8.0,6.0,6.0,8.0
Other production workers,,1046.0,1178.0,1246.0,1280.0
Other protective service workers,,102.0,117.0,147.0,137.0
Other psychologists,,145.0,149.0,154.0,153.0
Other rail transportation workers,,12.0,14.0,18.0,24.0
Other teachers and instructors,1017.0,687.0,737.0,805.0,973.0
"Other textile, apparel, and furnishings workers",,13.0,14.0,19.0,14.0
Other transportation workers,38.0,25.0,30.0,47.0,36.0
Other woodworkers,,23.0,22.0,25.0,27.0
Packaging and filling machine operators and tenders,262.0,252.0,253.0,304.0,301.0
"Packers and packagers, hand",628.0,640.0,742.0,719.0,690.0
Painters and paperhangers,,524.0,556.0,644.0,561.0
"Painters, construction and maintenance",599.0,,,,
Painting workers,171.0,148.0,153.0,173.0,142.0
"Paper goods machine setters, operators, and tenders",24.0,22.0,16.0,20.0,15.0
Paperhangers,7.0,,,,
Paralegals and legal assistants,444.0,416.0,431.0,445.0,434.0
Paramedics,,78.0,96.0,107.0,107.0
Parking attendants,,53.0,71.0,68.0,61.0
Parking enforcement workers,4.0,12.0,15.0,7.0,7.0
Parking lot attendants,83.0,,,,
Parts salespersons,142.0,119.0,124.0,108.0,117.0
Passenger attendants,,21.0,17.0,21.0,26.0
"Paving, surfacing, and tamping equipment operators",22.0,,,,
Payroll and timekeeping clerks,155.0,146.0,153.0,126.0,132.0
Personal care aides,1458.0,1282.0,1411.0,1407.0,1521.0
Personal care and service occupations,5968.0,3399.0,3676.0,3968.0,4220.0
"Personal care and service workers, all other",178.0,102.0,101.0,122.0,143.0
Personal financial advisors,551.0,514.0,535.0,543.0,506.0
"Personal service managers, all other",,2.0,1.0,6.0,16.0
Pest control workers,96.0,112.0,119.0,100.0,90.0
Petroleum engineers,24.0,15.0,16.0,18.0,12.0
Pharmacists,341.0,327.0,352.0,375.0,354.0
Pharmacy aides,49.0,48.0,35.0,45.0,32.0
Pharmacy technicians,,336.0,342.0,355.0,330.0
Phlebotomists,124.0,101.0,114.0,114.0,139.0
Photographers,188.0,186.0,192.0,210.0,228.0
Photographic process workers and processing machine operators,13.0,10.0,21.0,14.0,30.0
"Physical scientists, all other",298.0,336.0,370.0,442.0,441.0
Physical therapist assistants and aides,101.0,78.0,74.0,77.0,106.0
Physical therapists,304.0,281.0,273.0,274.0,312.0
Physician assistants,131.0,141.0,165.0,160.0,178.0
Physicians and surgeons,1098.0,,,,
Pile-driver operators,1.0,,,,
Pipelayers,,49.0,37.0,52.0,54.0
"Pipelayers, plumbers, pipefitters, and steamfitters",637.0,,,,
Plasterers and stucco masons,23.0,24.0,22.0,23.0,21.0
"Plating and coating machine setters, operators, and tenders, metal and plastic",13.0,,,,
"Plumbers, pipefitters, and steamfitters",,537.0,587.0,610.0,635.0
Podiatrists,10.0,12.0,8.0,13.0,11.0
Police and sheriff's patrol officers,716.0,,,,
Police officers,,758.0,753.0,746.0,702.0
Postal service clerks,96.0,91.0,105.0,107.0,96.0
Postal service mail carriers,331.0,312.0,273.0,280.0,302.0
"Postal service mail sorters, processors, and processing machine operators",76.0,66.0,82.0,59.0,65.0
Postmasters and mail superintendents,30.0,24.0,16.0,26.0,19.0
Postsecondary teachers,1386.0,1156.0,1154.0,1087.0,1013.0
"Power plant operators, distributors, and dispatchers",43.0,41.0,32.0,23.0,46.0
Precision instrument and equipment repairers,69.0,73.0,68.0,53.0,46.0
Prepress technicians and workers,27.0,13.0,17.0,21.0,15.0
Preschool and kindergarten teachers,655.0,535.0,613.0,645.0,669.0
"Pressers, textile, garment, and related materials",28.0,25.0,17.0,21.0,28.0
Print binding and finishing workers,14.0,17.0,8.0,7.0,13.0
Printing press operators,133.0,128.0,143.0,151.0,148.0
Private detectives and investigators,97.0,90.0,95.0,105.0,123.0
Probation officers and correctional treatment specialists,97.0,105.0,88.0,70.0,77.0
Procurement clerks,29.0,34.0,29.0,30.0,46.0
Producers and directors,186.0,181.0,182.0,185.0,167.0
Production occupations,8565.0,7590.0,7950.0,8256.0,8280.0
"Production workers, all other",1141.0,,,,
"Production, planning, and expediting clerks",297.0,244.0,212.0,212.0,212.0
"Production, transportation, and material moving occupations",18628.0,18215.0,19309.0,20082.0,19986.0
Professional and related occupations,37237.0,36502.0,36880.0,38749.0,39731.0
Project management specialists,,715.0,769.0,841.0,935.0
Proofreaders and copy markers,7.0,4.0,10.0,7.0,7.0
Property appraisers and assessors,,86.0,80.0,100.0,97.0
"Property, real estate, and community association managers",780.0,781.0,780.0,835.0,880.0
Protective service occupations,3128.0,3024.0,2987.0,3057.0,3105.0
Psychiatric technicians,,67.0,73.0,91.0,113.0
Psychologists,234.0,,,,
Public relations and fundraising managers,73.0,95.0,100.0,131.0,110.0
Public relations specialists,137.0,145.0,122.0,120.0,140.0
Public safety telecommunicators,,104.0,88.0,82.0,76.0
Pumping station operators,16.0,20.0,16.0,19.0,21.0
"Purchasing agents, except wholesale, retail, and farm products",279.0,230.0,223.0,266.0,319.0
Purchasing managers,227.0,212.0,232.0,234.0,241.0
Radiation therapists,16.0,10.0,15.0,16.0,16.0
Radio and telecommunications equipment installers and repairers,131.0,140.0,155.0,112.0,116.0
Radiologic technologists and technicians,,254.0,226.0,223.0,259.0
Radiologists,,25.0,26.0,26.0,19.0
Rail-track laying and maintenance equipment operators,4.0,5.0,15.0,17.0,22.0
"Railroad brake, signal, and switch operators",2.0,,,,
Railroad conductors and yardmasters,52.0,40.0,39.0,38.0,48.0
Real estate brokers and sales agents,1095.0,1037.0,1170.0,1182.0,1031.0
Receptionists and information clerks,1288.0,1147.0,1215.0,1171.0,1196.0
Recreation and fitness workers,440.0,,,,
Recreation workers,,131.0,139.0,158.0,182.0
Recreational therapists,10.0,21.0,18.0,14.0,17.0
Refuse and recyclable material collectors,99.0,98.0,87.0,112.0,112.0
Registered nurses,3242.0,3256.0,3201.0,3363.0,3472.0
Rehabilitation counselors,,28.0,11.0,21.0,17.0
Reinforcing iron and rebar workers,6.0,3.0,10.0,9.0,11.0
"Religious workers, all other",69.0,64.0,96.0,68.0,74.0
Reservation and transportation ticket agents and travel clerks,119.0,108.0,93.0,112.0,123.0
Residential advisors,30.0,33.0,26.0,28.0,40.0
Respiratory therapists,112.0,122.0,117.0,104.0,92.0
Retail salespersons,3105.0,2751.0,2750.0,2582.0,2721.0
Riggers,12.0,7.0,6.0,10.0,14.0
"Rolling machine setters, operators, and tenders, metal and plastic",13.0,,,,
"Roof bolters, mining",1.0,,,,
Roofers,222.0,210.0,221.0,208.0,235.0
"Roustabouts, oil and gas",8.0,6.0,3.0,10.0,8.0
Sailors and marine oilers,19.0,19.0,18.0,25.0,17.0
Sales and office occupations,33370.0,29726.0,30166.0,30412.0,30279.0
Sales and related occupations,15582.0,14168.0,14369.0,14316.0,14325.0
"Sales and related workers, all other",284.0,317.0,410.0,369.0,339.0
Sales engineers,35.0,35.0,41.0,51.0,41.0
Sales managers,,521.0,537.0,566.0,569.0
"Sales representatives of services, except advertising, insurance, financial services, and travel",,563.0,565.0,615.0,638.0
"Sales representatives, services, all other",557.0,,,,
"Sales representatives, wholesale and manufacturing",1281.0,1217.0,1216.0,1155.0,1152.0
"Sawing machine setters, operators, and tenders, wood",33.0,28.0,26.0,27.0,23.0
School bus monitors,,17.0,28.0,45.0,26.0
School psychologists,,43.0,58.0,48.0,56.0
Secondary school teachers,1015.0,963.0,940.0,1000.0,944.0
Secretaries and administrative assistants,2688.0,,,,
"Secretaries and administrative assistants, except legal, medical, and executive",,2080.0,2009.0,1915.0,1841.0
"Securities, commodities, and financial services sales agents",231.0,242.0,243.0,226.0,249.0
Security and fire alarm systems installers,58.0,63.0,72.0,67.0,48.0
Security guards and gambling surveillance officers,,800.0,844.0,835.0,925.0
Security guards and gaming surveillance officers,937.0,,,,
Semiconductor processors,0.0,,,,
Septic tank servicers and sewer pipe cleaners,8.0,7.0,11.0,6.0,7.0
Service occupations,26978.0,22853.0,24403.0,25438.0,26171.0
Sewing machine operators,179.0,131.0,120.0,131.0,129.0
Sheet metal workers,140.0,123.0,125.0,131.0,127.0
Ship and boat captains and operators,45.0,31.0,26.0,41.0,42.0
Ship engineers,5.0,3.0,3.0,6.0,1.0
"Shipping, receiving, and inventory clerks",,572.0,615.0,645.0,621.0
"Shipping, receiving, and traffic clerks",563.0,,,,
Shoe and leather workers,,12.0,18.0,11.0,13.0
Shoe and leather workers and repairers,7.0,,,,
Shoe machine operators and tenders,5.0,,,,
Shuttle drivers and chauffeurs,,88.0,57.0,59.0,78.0
Signal and track switch repairers,7.0,,,,
Skincare specialists,,72.0,90.0,96.0,102.0
Small engine mechanics,45.0,48.0,43.0,51.0,41.0
Social and community service managers,470.0,424.0,391.0,434.0,486.0
Social and human service assistants,238.0,230.0,194.0,228.0,245.0
Social science research assistants,1.0,4.0,6.0,5.0,4.0
Social workers,823.0,,,,
"Social workers, all other",,673.0,681.0,731.0,704.0
Sociologists,2.0,3.0,2.0,3.0,4.0
Software developers,,1883.0,1932.0,2085.0,2134.0
"Software developers, applications and systems software",1815.0,,,,
Software quality assurance analysts and testers,,82.0,74.0,83.0,76.0
Solar photovoltaic installers,18.0,20.0,23.0,28.0,20.0
Special education teachers,331.0,332.0,362.0,369.0,341.0
Speech-language pathologists,180.0,195.0,187.0,171.0,185.0
Stationary engineers and boiler operators,52.0,56.0,66.0,85.0,73.0
Statistical assistants,58.0,65.0,45.0,17.0,16.0
Statisticians,101.0,61.0,45.0,51.0,46.0
Stock clerks and order fillers,1512.0,,,,
Stockers and order fillers,,1570.0,1652.0,1722.0,1640.0
Structural iron and steel workers,66.0,47.0,41.0,66.0,42.0
Structural metal fabricators and fitters,25.0,21.0,13.0,20.0,22.0
Substance abuse and behavioral disorder counselors,,130.0,121.0,137.0,133.0
"Subway, streetcar, and other rail transportation workers",9.0,,,,
Supervisors of personal care and service workers,,237.0,250.0,232.0,253.0
Supervisors of transportation and material moving workers,206.0,265.0,355.0,312.0,349.0
Surgeons,,54.0,59.0,48.0,59.0
Surgical technologists,,108.0,113.0,93.0,110.0
Survey researchers,0.0,5.0,1.0,2.0,2.0
Surveying and mapping technicians,53.0,56.0,57.0,83.0,87.0
"Surveyors, cartographers, and photogrammetrists",48.0,45.0,41.0,43.0,44.0
"Switchboard operators, including answering service",21.0,12.0,8.0,16.0,18.0
"Tailors, dressmakers, and sewers",86.0,64.0,58.0,58.0,51.0
"Tank car, truck, and ship loaders",6.0,,,,
"Tax examiners and collectors, and revenue agents",53.0,61.0,63.0,71.0,71.0
Tax preparers,97.0,96.0,101.0,98.0,116.0
Taxi drivers,,327.0,337.0,455.0,456.0
Taxi drivers and chauffeurs,790.0,,,,
Teacher assistants,999.0,,,,
Teaching assistants,,1220.0,1309.0,1380.0,1426.0
Technical writers,61.0,65.0,71.0,53.0,49.0
Telecommunications line installers and repairers,184.0,131.0,134.0,134.0,160.0
Telemarketers,49.0,48.0,33.0,39.0,31.0
Telephone operators,42.0,23.0,23.0,26.0,17.0
"Television, video, and film camera operators and editors",,100.0,108.0,111.0,148.0
"Television, video, and motion picture camera operators and editors",60.0,,,,
Tellers,294.0,279.0,215.0,218.0,204.0
Textile bleaching and dyeing machine operators and tenders,2.0,,,,
"Textile cutting machine setters, operators, and tenders",4.0,,,,
"Textile knitting and weaving machine setters, operators, and tenders",9.0,,,,
"Textile machine setters, operators, and tenders",,16.0,12.0,19.0,21.0
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",10.0,,,,
"Textile, apparel, and furnishings workers, all other",13.0,,,,
"Therapists, all other",235.0,233.0,242.0,254.0,303.0
Tire builders,8.0,2.0,8.0,9.0,9.0
"Title examiners, abstractors, and searchers",,101.0,107.0,104.0,97.0
Tool and die makers,55.0,37.0,43.0,40.0,39.0
"Tool grinders, filers, and sharpeners",1.0,,,,
Total employed,157538.0,147795.0,152581.0,158291.0,161037.0
Tour and travel guides,61.0,47.0,42.0,58.0,55.0
Training and development managers,46.0,52.0,55.0,63.0,62.0
Training and development specialists,125.0,115.0,166.0,157.0,138.0
Transit and railroad police,5.0,,,,
Transportation and material moving occupations,10063.0,10625.0,11359.0,11826.0,11706.0
"Transportation attendants, except flight attendants",43.0,,,,
Transportation inspectors,42.0,35.0,36.0,44.0,35.0
Transportation security screeners,43.0,42.0,46.0,37.0,47.0
Transportation service attendants,,93.0,89.0,91.0,79.0
"Transportation, storage, and distribution managers",281.0,300.0,314.0,351.0,382.0
Travel agents,82.0,51.0,56.0,71.0,77.0
Tree trimmers and pruners,,109.0,98.0,104.0,118.0
Tutors,,195.0,168.0,168.0,141.0
"Umpires, referees, and other sports officials",,25.0,17.0,32.0,25.0
Underground mining machine operators,,39.0,33.0,33.0,38.0
Upholsterers,30.0,24.0,20.0,18.0,17.0
Urban and regional planners,25.0,47.0,28.0,35.0,37.0
"Ushers, lobby attendants, and ticket takers",38.0,22.0,29.0,39.0,34.0
Veterinarians,104.0,83.0,104.0,83.0,87.0
Veterinary assistants and laboratory animal caretakers,59.0,60.0,78.0,67.0,77.0
Veterinary technologists and technicians,,105.0,129.0,148.0,142.0
Waiters and waitresses,2038.0,1388.0,1631.0,1762.0,1805.0
Water and wastewater treatment plant and system operators,110.0,112.0,99.0,93.0,89.0
Web and digital interface designers,,70.0,64.0,89.0,79.0
Web developers,193.0,104.0,81.0,79.0,76.0
"Weighers, measurers, checkers, and samplers, recordkeeping",66.0,58.0,49.0,59.0,67.0
"Welding, soldering, and brazing workers",592.0,520.0,555.0,550.0,559.0
"Wholesale and retail buyers, except farm products",226.0,178.0,159.0,179.0,225.0
Wind turbine service technicians,2.0,5.0,11.0,9.0,7.0
"Woodworkers, all other",23.0,,,,
"Woodworking machine setters, operators, and tenders, except sawing",12.0,13.0,16.0,15.0,28.0
Word processors and typists,57.0,44.0,37.0,35.0,46.0
Writers and authors,225.0,242.0,261.0,277.0,271.0
