area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,quarter
US000,1,3364,16,0,2020,1,,1,2891,2901,2929,49047236,0,0,1298,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,92,3.3,64,2.3,99,3.5,-4284602,-8.0,0,0.0,0,0.0,-156,-10.7,1
US000,3,3364,16,0,2020,1,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2020,1,,3436,538543,540194,537914,15306518451,7146420348,99510944,2185,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,84,2.5,16955,3.3,14054,2.7,12377,2.4,-927830309,-5.7,-221287060,-3.0,-12050179,-10.8,-196,-8.2,1
US000,1,3364,16,0,2020,2,,1,2931,2941,2951,49927985,0,0,1306,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,125,4.5,114,4.0,122,4.3,2644422,5.6,0,0.0,0,0.0,17,1.3,2
US000,3,3364,16,0,2020,2,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
US000,5,3364,16,0,2020,2,,3476,512937,508501,504343,12822619376,1851211905,12924643,1939,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,93,2.7,-14127,-2.7,-20581,-3.9,-31802,-5.9,-278466195,-2.1,193764513,11.7,-2200085,-14.5,40,2.1,2
US000,1,3364,16,0,2020,3,,1,2951,2954,2949,61300092,0,0,1598,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,89,3.1,103,3.6,102,3.6,4070648,7.1,0,0.0,0,0.0,55,3.6,3
US000,3,3364,16,0,2020,3,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
US000,5,3364,16,0,2020,3,,3533,503765,499578,494261,12034414556,680027477,6077986,1854,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,133,3.9,-35295,-6.5,-38121,-7.1,-41567,-7.8,-752796096,-5.9,-104329576,-13.3,-3449070,-36.2,24,1.3,3
US000,1,3364,16,0,2020,4,,1,2958,2967,2955,61101348,0,0,1588,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,106,3.7,90,3.1,70,2.4,10456141,20.6,0,0.0,0,0.0,231,17.0,4
US000,3,3364,16,0,2020,4,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
US000,5,3364,16,0,2020,4,,3585,487347,482671,482828,13579023684,336999246,3729749,2157,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,194,5.7,-48370,-9.0,-54974,-10.2,-56977,-10.6,-154676666,-1.1,-139745159,-29.3,-2480230,-39.9,192,9.8,4
US000,1,3364,16,0,2021,1,,1,2942,2929,2944,50104171,0,0,1312,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,51,1.8,28,1.0,15,0.5,1056935,2.2,0,0.0,0,0.0,14,1.1,1
US000,3,3364,16,0,2021,1,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2021,1,,3629,480452,482319,479082,13585877363,6291201801,91756460,2174,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,193,5.6,-58091,-10.8,-57875,-10.7,-58832,-10.9,-1720641088,-11.2,-855218547,-12.0,-7754484,-7.8,-11,-0.5,1
US000,1,3364,16,0,2021,2,,1,2939,2936,2933,50294954,0,0,1318,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,8,0.3,-5,-0.2,-18,-0.6,366969,0.7,0,0.0,0,0.0,12,0.9,2
US000,3,3364,16,0,2021,2,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
US000,5,3364,16,0,2021,2,,3665,476178,474545,478562,12323158570,1764075765,15984391,1990,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,189,5.4,-36759,-7.2,-33956,-6.7,-25781,-5.1,-499460806,-3.9,-87136140,-4.7,3059748,23.7,51,2.6,2
US000,1,3364,16,0,2021,3,,1,2917,2899,2885,59021561,0,0,1565,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-34,-1.2,-55,-1.9,-64,-2.2,-2278531,-3.7,0,0.0,0,0.0,-33,-2.1,3
US000,3,3364,16,0,2021,3,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
US000,5,3364,16,0,2021,3,,3708,480266,478325,477013,12464136630,846426729,9496742,2004,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,175,5.0,-23499,-4.7,-21253,-4.3,-17248,-3.5,429722074,3.6,166399252,24.5,3418756,56.2,150,8.1,3
US000,1,3364,16,0,2021,4,,1,2865,2850,2837,60204293,0,0,1625,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-93,-3.1,-117,-3.9,-118,-4.0,-897055,-1.5,0,0.0,0,0.0,37,2.3,4
US000,3,3364,16,0,2021,4,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
US000,5,3364,16,0,2021,4,,3786,476804,478860,480689,13563023521,495662110,6726365,2179,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,201,5.6,-10543,-2.2,-3811,-0.8,-2139,-0.4,-16000163,-0.1,158662864,47.1,2996616,80.3,22,1.0,4
US000,1,3364,16,0,2022,1,,1,2891,2882,2862,51900135,0,0,1387,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-51,-1.7,-47,-1.6,-82,-2.8,1795964,3.6,0,0.0,0,0.0,75,5.7,1
US000,3,3364,16,0,2022,1,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2022,1,,3887,484056,489170,487852,15207891374,6884770865,104221571,2402,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,258,7.1,3604,0.8,6851,1.4,8770,1.8,1622014011,11.9,593569064,9.4,12465111,13.6,228,10.5,1
US000,1,3364,16,0,2022,2,,1,2774,2753,2745,57490420,0,0,1604,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-165,-5.6,-183,-6.2,-188,-6.4,7195466,14.3,0,0.0,0,0.0,286,21.7,2
US000,3,3364,16,0,2022,2,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
US000,5,3364,16,0,2022,2,,3922,489512,491222,499424,13299186740,1945943420,25732611,2073,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,257,7.0,13334,2.8,16677,3.5,20862,4.4,976028170,7.9,181867655,10.3,9748220,61.0,83,4.2,2
US000,1,3364,16,0,2022,3,,1,2730,2737,2724,49712083,0,0,1401,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-187,-6.4,-162,-5.6,-161,-5.6,-9309478,-15.8,0,0.0,0,0.0,-164,-10.5,3
US000,3,3364,16,0,2022,3,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
US000,5,3364,16,0,2022,3,,3995,503419,504906,506262,13889232171,1060868327,15133822,2116,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,287,7.7,23153,4.8,26581,5.6,29249,6.1,1425095541,11.4,214441598,25.3,5637080,59.4,112,5.6,3
US000,1,3364,16,0,2022,4,,1,2709,2695,2679,50594629,0,0,1444,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-156,-5.4,-155,-5.4,-158,-5.6,-9609664,-16.0,0,0.0,0,0.0,-181,-11.1,4
US000,3,3364,16,0,2022,4,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1,-50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
US000,5,3364,16,0,2022,4,,4056,508878,512544,514593,14414187884,657675297,9666400,2166,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,270,7.1,32074,6.7,33684,7.0,33904,7.1,851164363,6.3,162013187,32.7,2940035,43.7,-13,-0.6,4
US000,1,3364,16,0,2023,1,,1,2667,2646,2635,48081741,0,0,1396,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-224,-7.7,-236,-8.2,-227,-7.9,-3818394,-7.4,0,0.0,0,0.0,9,0.6,1
US000,3,3364,16,0,2023,1,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2023,1,,4131,516384,521101,521208,17361355362,7586437055,102296907,2570,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,244,6.3,32328,6.7,31931,6.5,33356,6.8,2153463988,14.2,701666190,10.2,-1924664,-1.8,168,7.0,1
US000,1,3364,16,0,2023,2,,1,2627,2613,2601,54590077,0,0,1607,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-147,-5.3,-140,-5.1,-144,-5.2,-2900343,-5.0,0,0.0,0,0.0,3,0.2,2
US000,3,3364,16,0,2023,2,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
US000,5,3364,16,0,2023,2,,4175,521463,524140,534152,14704228164,2170415854,28070371,2148,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,253,6.5,31951,6.5,32918,6.7,34728,7.0,1405041424,10.6,224472434,11.5,2337760,9.1,75,3.6,2
US000,1,3364,16,0,2023,3,,1,2598,2592,2584,47606914,0,0,1413,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-132,-4.8,-145,-5.3,-140,-5.1,-2105169,-4.2,0,0.0,0,0.0,12,0.9,3
US000,3,3364,16,0,2023,3,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
US000,5,3364,16,0,2023,3,,4345,548014,547670,548852,15340753183,1158079937,15834122,2153,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,350,8.8,44595,8.9,42764,8.5,42590,8.4,1451521012,10.5,97211610,9.2,700300,4.6,37,1.7,3
US000,1,3364,16,0,2023,4,,1,2575,2561,2592,56640854,0,0,1691,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-134,-4.9,-134,-5.0,-87,-3.2,6046225,12.0,0,0.0,0,0.0,247,17.1,4
US000,3,3364,16,0,2023,4,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
US000,5,3364,16,0,2023,4,,4384,549286,552904,556017,16727485794,698826043,10044143,2328,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,328,8.1,40408,7.9,40360,7.9,41424,8.0,2313297910,16.0,41150746,6.3,377743,3.9,162,7.5,4
US000,1,3364,16,0,2024,1,,1,2630,2633,2628,49842006,0,0,1458,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-37,-1.4,-13,-0.5,-7,-0.3,1760265,3.7,0,0.0,0,0.0,62,4.4,1
US000,3,3364,16,0,2024,1,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2024,1,,4564,557671,562608,561244,19424164203,8485933801,106052772,2666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,433,10.5,41287,8.0,41507,8.0,40036,7.7,2062808841,11.9,899496746,11.9,3755865,3.7,96,3.7,1
US000,1,3364,16,0,2024,2,,1,2621,2613,2608,56728729,0,0,1669,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-6,-0.2,0,0.0,7,0.3,2138652,3.9,0,0.0,0,0.0,62,3.9,2
US000,3,3364,16,0,2024,2,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
US000,5,3364,16,0,2024,2,,4566,559115,560235,566600,16430939304,2419061049,30811318,2249,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,391,9.4,37652,7.2,36095,6.9,32448,6.1,1726711140,11.7,248645195,11.5,2740947,9.8,101,4.7,2
US000,1,3364,16,0,2024,3,,1,2630,2635,2628,52784972,0,0,1543,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,32,1.2,43,1.7,44,1.7,5178058,10.9,0,0.0,0,0.0,130,9.2,3
US000,3,3364,16,0,2024,3,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
US000,5,3364,16,0,2024,3,,4608,569178,565966,565531,16429633070,1217201258,16228374,2229,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,263,6.1,21164,3.9,18296,3.3,16679,3.0,1088879887,7.1,59121321,5.1,394252,2.5,76,3.5,3
US000,1,3364,16,0,2024,4,,1,2620,2625,2647,57081127,0,0,1669,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,45,1.7,64,2.5,55,2.1,440273,0.8,0,0.0,0,0.0,-22,-1.3,4
US000,3,3364,16,0,2024,4,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
US000,5,3364,16,0,2024,4,,4650,528390,564922,565388,16733805273,648214881,9081661,2328,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,266,6.1,-20896,-3.8,12018,2.2,9371,1.7,6319479,0.0,-50611162,-7.2,-962482,-9.6,0,0.0,4
US000,1,3364,16,0,2025,1,,1,2619,2620,2625,60953913,0,0,1789,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,-11,-0.4,-13,-0.5,-3,-0.1,11111907,22.3,0,0.0,0,0.0,331,22.7,1
US000,3,3364,16,0,2025,1,N,2,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2025,1,,4708,564169,566470,561869,19985845697,8574270805,100648550,2725,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,144,3.2,6498,1.2,3862,0.7,625,0.1,561681494,2.9,88337004,1.0,-5404222,-5.1,59,2.2,1
